Time, CA, CB,CAO, v0,
53.95,0.039999975058551906,0.14667942223621738,0.2,0.05,
54.45,0.03999997817623292,0.14701243418616716,0.2,0.05,
54.95,0.039999980904203813,0.14733712114913627,0.2,0.05,
55.45,0.039999983291178334,0.14765369121082828,0.2,0.05,
55.95,0.03999998537978104,0.1479623472596754,0.2,0.05,
56.45,0.03999998720730841,0.1482632871161616,0.2,0.05,
56.95,0.039999988806394854,0.14855670365898838,0.2,0.05,
57.45,0.0399999902055955,0.14884278494815317,0.2,0.05,
57.95,0.03999999142989606,0.14912171434500887,0.2,0.05,
58.45,0.03999999250115906,0.14939367062937325,0.2,0.05,
58.95,0.03999999343851418,0.1496588281137548,0.2,0.05,
59.45,0.039999994258699906,0.14991735675476237,0.2,0.05,
59.95,0.03999999497636242,0.15016942226176327,0.2,0.05,
60.45,0.03999999560431712,0.15041518620285543,0.2,0.05,
60.95,0.03999999615377749,0.15065480610821574,0.2,0.05,
61.45,0.03999999663455531,0.1508884355708881,0.2,0.05,
61.95,0.039999997055235895,0.15111622434507144,0.2,0.05,
62.45,0.03999999742333141,0.15133831844196827,0.2,0.05,
62.95,0.039999997745414975,0.1515548602232522,0.2,0.05,
63.45,0.03999999802723811,0.1517659884922124,0.2,0.05,
63.95,0.039999998273833354,0.1519718385826309,0.2,0.05,
64.45,0.039999998489604185,0.15217254244544848,0.2,0.05,
64.95,0.03999999867840366,0.15236822873327266,0.2,0.05,
65.45,0.03999999884360321,0.15255902288278123,0.2,0.05,
65.95,0.039999998988152805,0.15274504719507204,0.2,0.05,
66.45,0.0399999991146337,0.15292642091401054,0.2,0.05,
66.95,0.03999999922530449,0.15310326030262367,0.2,0.05,
67.45,0.03999999932214143,0.15327567871758851,0.2,0.05,
67.95,0.03999999940687375,0.15344378668186293,0.2,0.05,
68.45,0.03999999948101453,0.15360769195550372,0.2,0.05,
68.95,0.03999999954588772,0.15376749960471758,0.2,0.05,
69.45,0.039999999602651756,0.1539233120691884,0.2,0.05,
